cn_name,en_name1,en_name2
安康,ankang,ankang
蚌埠,bengbu,bangbu
宝鸡,baoji,baoji
保定,baoding,baoding
北京,beijing,beijing
常州,changzhou,changzhou
成都,chengdu,chengdu
达州,dazhou,dazhou
大连,dalian,dalian
德阳,deyang,deyang
东莞,dongguan,dongguang
东营,dongying,dongying
佛山,foshan,foshan
福州,fuzhou,fuzhou
抚顺,fushun,fushun
阜阳,fuyang,fuyang
广州,guangzhou,guangzhou
贵阳,guiyang,guiyang
哈尔滨,haerbin,haerbin
邯郸,handan,handan
汉中,hanzhong,hanzhong
杭州,hangzhou,hangzhou
合肥,hefei,hefei
葫芦岛,huludao,huludao
湖州,huzhou,huzhou
淮安,huaian,huaian
淮北,huaibei,huaibei
黄冈,huanggang,huanggang
黄山,huangshan,huangshan
黄石,huangshi,huangshi
惠州,huizhou,huizhou
济南,jinan,jinan
济宁,jining,jining
嘉兴,jiaxing,jiaxing
江门,jiangmen,jiangmen
金华,jinhua,jinhua
锦州,jinzhou,jinzhou
荆门,jingmen,jingmen
荆州,jingzhou,jingzhou
昆明,kunming,kunming
廊坊,langfang,langfang
乐山,leshan,leshan
丽水,lishui,lishui
辽阳,liaoyang,liaoyang
聊城,liaocheng,liaocheng
柳州,liuzhou,liuzhou
六安,luan,liuan
龙岩,longyan,longyan
洛阳,luoyang,lvyang
绵阳,mianyang,mianyang
南昌,nanchang,nanchang
南京,nanjing,nanjing
南宁,nanning,nanning
南平,nanping,nanping
南通,nantong,nantong
宁波,ningbo,ningbo
宁德,ningde,ningde
莆田,putian,putian
濮阳,puyang,puyang
青岛,qingdao,qingdao
清远,qingyuan,qingyuan
衢州,quzhou,quzhou
泉州,quanzhou,quanzhou
日照,rizhao,rizhao
三明,sanming,sanming
三亚,sanya,sanya
厦门,xiamen,xiamen
汕尾,shanwei,shanwei
上海,shanghai,shanghai
上饶,shangrao,shangrao
绍兴,shaoxing,shaoxing
深圳,shenzhen,shenzhen
沈阳,shenyang,shenyang
十堰,shiyan,shiyan
石河子,shihezi,shihezi
石家庄,shijiazhuang,shijiazhuang
思茅,simao,simao
苏州,suzhou,suzhou
台州,taizhou,taizhou
太原,taiyuan,taiyuan
泰州,taizhou2,jstaizhou
天津,tianjin,tianjin
天门,tianmen,tianmen
通辽,tongliao,tongliao
铜陵,tongling,tongling
威海,weihai,weihai
潍坊,weifang,weifang
温州,wenzhou,wenzhou
无锡,wuxi,wuxi
芜湖,wuhu,wuhu
梧州,wuzhou,wuzhou
武汉,wuhan,wuhan
西安,xian,xian
咸宁,xianning,xianning
咸阳,xianyang,xianyang
襄阳,xiangyang,xiangyang
孝感,xiaogan,xiaogan
信阳,xinyang,xinyang
邢台,xingtai,xingtai
宿迁,suqian,suqian
徐州,xuzhou,xuzhou
烟台,yantai,yantai
盐城,yancheng,yancheng
扬州,yangzhou,yangzhou
阳江,yangjiang,yangjiang
宜昌,yichang,yichang
营口,yingkou,yingkou
玉林,yulin,yulin
湛江,zhanjiang,zhanjiang
张家口,zhangjiakou,zhangjiakou
漳州,zhangzhou,zhangzhou
长沙,changsha,changsha
长治,changzhi,changzhi
肇庆,zhaoqing,zhaoqing
镇江,zhenjiang,zhenjiang
郑州,zhengzhou,zhengzhou
中山,zhongshan,zhongshan
重庆,chongqing,chongqing
舟山,zhoushan,zhoushan
珠海,zhuhai,zhuhai
株洲,zhuzhou,zhuzhou
自贡,zigong,zigong
